id,title,description,availability,condition,price,link,image_link,brand,category
SKU01,castle,Castle is a versatile; general purpose blended cement suitable for bricklaying; plastering; screeding; and concreting applications. Castle is a mainstay of our ECOCem™ product line. Made with 30% to 40% lower CO₂ emissions¹; it is a certified Singapore Green Label cement. Its excellent versatility makes it suitable for all general-purpose,in stock,new,25,https://ytlcement.my/product/castle,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/WEBSITE_PRODUCT_02_latest_31a28a57f5.jpg,ytl cements,Bag cement
SKU02,phoenix,Phoenix is an eco-friendly general purpose blended cement that has superior workability and good cohesiveness. It is easy to mix and suitable for bricklaying; screeding and concreting applications. Phoenix is a mainstay of our ECOCem™ product range. It is made with 30% to 40% lower CO₂ emissions¹; and contains a,in stock,new,22.5,https://ytlcement.my/product/phoenix,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/PHOENIX_f678d982f9.jpg,ytl cements,Bag cement
SKU03,walcrete,Walcrete is specially designed with air entraining agent to give better performance in plastering application. It is a specially formulated for excellent workability and strong adhesion to walls. It is highly recommended for interior and exterior plastering works. Walcrete is a specially designed plastering cement in our ECOCem™ product range.,in stock,new,22.5,https://ytlcement.my/product/walcrete,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/WALCRETE_71c7068d46.jpg,ytl cements,Bag cement
SKU04,wallcem,Wallcem is formulated to improve water retention; cohesiveness and workability of the mortar to give better performance in plastering applications. It has good workability; offering stronger adhesion to wall for better finishing which makes it ideal for all internal and external plastering works. Wallcem is another member of our ECOCem™,in stock,new,22.5,https://ytlcement.my/product/wallcem,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/WEBSITE_PRODUCT_05_lates_f15c5115d8.jpg,ytl cements,Bag cement
SKU05,top standard,Top Standard is one of the most widely-used multipurpose cement in the industry. It is easy to use and has excellent workability; suitable for the building of homes and for commercial use. Top Standard is a mainstay of our ECOCem™ product range. It is made with 30% to 40% lower,in stock,new,22.5,https://ytlcement.my/product/top-standard,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/TOP_STANDARD_1_8666a9136d.jpg,ytl cements,Bag cement
SKU06,orang kuat,Orang Kuat is designed as a high strength Portland cement formulated for early demoulding; handling; and use. It is consistent in quality and ideal for high strength precast applications; where time is of the essence. Orang Kuat is a high strength Portland cement formulated for early demoulding; handling; and use.,in stock,new,25,https://ytlcement.my/product/orang-kuat,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/workingfile4_01_ede4242aa0.jpg,ytl cements,Bag cement
SKU07,marinecem,Marinecem is specially manufactured with low C3A content for maximum protection against corrosion caused by sulphate. It is a high-quality cement made for concrete structures that come into contact with soil or groundwater that have a high sulphate content.,in stock,new,28,https://ytlcement.my/product/marinecem,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/workingfile3_01_5f89af6f54.jpg,ytl cements,Bag cement
SKU08,mascrete lh,Mascrete LH is a green-certified; type CEM II/B-V specially formulated blended cement. It is produced by intergrinding Fly Ash and clinker at our cement plants under stringent quality control. Mascrete LH is a green certified; blended cement that is part of our ECOCem™ range. It is produced with 20% to,in stock,new,445.6,https://ytlcement.my/product/mascrete%20lh,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/mascrete_lh_01_dfe820eb8c.png,ytl cements,Bulk cement
SKU09,mascrete® eco,MASCRETE® ECO is an eco-friendly cement; specifically designed for demanding building and infrastructure projects as part of our ECOCem™ product range. MASCRETE® ECO is an eco-friendly cement; specifically designed for demanding building and infrastructure projects as part of our ECOCem™ product range. With up to 30% lower embodied carbon and,in stock,new,470,https://ytlcement.my/product/mascrete-eco,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/mascrete_eco_648956d827.png,ytl cements,Bulk cement
SKU10,slagcem,Slagcem is our high quality Portland Slag Cement / Blast Furnace Cement. It is an eco-friendly product that provides high resistance against chloride and sulphate attacks. Slagcem is a series of products that combines Ground Granulated Blast Furnace Slag (GGBS) and Ordinary Portland Cement (OPC). This product range consists of,in stock,new,490,https://ytlcement.my/product/slagcem,https://cdn.ytlcement.my/ytl-production-media/ytl-media/assets/SLAGCEM_20ebb62b23.jpg,ytl cements,Bulk cement
